    id  redshift           hst.wfc.F606W       hst.wfc.F606W_err           hst.wfc.F814W       hst.wfc.F814W_err       HST-WFC3_IR.F105W   HST-WFC3_IR.F105W_err       jwst.nircam.F115W   jwst.nircam.F115W_err          hst.wfc3.F125W      hst.wfc3.F125W_err          hst.wfc3.F140W      hst.wfc3.F140W_err       jwst.nircam.F150W   jwst.nircam.F150W_err          hst.wfc3.F160W      hst.wfc3.F160W_err       jwst.nircam.F200W   jwst.nircam.F200W_err       jwst.nircam.F277W   jwst.nircam.F277W_err       jwst.nircam.F356W   jwst.nircam.F356W_err       jwst.nircam.F410M   jwst.nircam.F410M_err       jwst.nircam.F444W   jwst.nircam.F444W_err 
    95      -1.0  4.8465481265801805e-05   8.514058744126408e-06   9.342626146060009e-05  1.2601202625776716e-05                   -99.0                   -99.0  0.00034726016444263134   6.449239538608164e-06                   -99.0                   -99.0   0.0006011510076333718  2.1786473450302178e-05   0.0007035446825294606   7.983647188673815e-06                   -99.0                   -99.0   0.0012409355829123391   9.041387210586776e-06   0.0020880460255362976   9.150430995799231e-06   0.0026849491195188517   9.716079573286658e-06    0.003193163140272449  1.5305756396059028e-05    0.003469301014036156  1.0938893116139966e-05 
   802      -1.0  0.00016072100457534415  2.3662830701027014e-05  0.00033305365014195106   3.770673655990658e-05                   -99.0                   -99.0   0.0015630854761402172   2.205349243217784e-05   0.0021408371622011783    4.53736017849289e-05    0.003093480130885085   7.592769628671122e-05    0.004018192297691607  2.9838814781899296e-05   0.0040896819111221235   5.362807199777908e-05    0.006164443430368659   3.048838946537744e-05    0.009709783182766052  3.5602543494234144e-05    0.011332707410518497   3.193171474311274e-05    0.013025833191542584   4.998947647583664e-05    0.014055362116531958   4.115291556365808e-05 
  1356      -1.0  4.9785256551032865e-05   1.050784137257332e-05  0.00013245386463280333  1.4782719395231921e-05                   -99.0                   -99.0   0.0013506518913168782   1.209101823531966e-05   0.0004382025225495039  4.1663541130765906e-05   0.0031010387818074005   3.426883687540789e-05   0.0035118967764300795  1.9558654370487353e-05                   -99.0                   -99.0    0.006168099684687866   2.328760531624279e-05    0.010139954901863943  2.9093970737288456e-05    0.013780594919187315    3.59667888914237e-05    0.015844993278095916   4.746510990999044e-05    0.016829167251154062   4.257726134440892e-05 
  1537      -1.0  0.00016654041311359592   2.109328168340764e-05   0.0011959413508491152   3.429559504790998e-05                   -99.0                   -99.0    0.004475297175647879  1.8692741861501063e-05    0.005140775086953508   3.703967761792711e-05    0.006604865748089988   6.474859178159164e-05    0.008481662058130925   2.327208606063879e-05     0.00830009052286176   3.273678422911852e-05     0.01557512745888096   3.021659369331261e-05     0.02524685032136425  4.1587235166834255e-05     0.03241082836015332  5.1464867609293946e-05     0.03214501915402558   7.728117160357057e-05     0.02944298391584531   6.468550570235553e-05 
  1806      -1.0   6.817956601454797e-05  1.6282080448407943e-05  0.00020412746324700236   2.252845217104573e-05                   -99.0                   -99.0    0.000850277291491961   1.154765578025621e-05    0.001009538056253117  2.4109718154178905e-05    0.001371556016635433  3.9299357994172675e-05   0.0018468900929936416  1.4602532232210801e-05    0.001762144511606311  2.1001368696815843e-05    0.003285383240693711  1.3068141321045985e-05    0.005064475655434797  1.3220566591352055e-05    0.006771394346052062  1.4473876398524541e-05    0.007825792687422117  2.5446759157595033e-05    0.008146730817936593  1.8407789297165206e-05 
  1853      -1.0   7.440857490151461e-06  3.7982972656319567e-06   4.736420156624639e-05  4.1897171620138635e-06                   -99.0                   -99.0    3.36909148186337e-05  2.1513214102774207e-06   3.216562557563276e-05   4.684824767645133e-06  2.7464029505553664e-05   7.328471934443338e-06  3.0299965267581105e-05  2.3922331544388337e-06   3.099773584545989e-05   4.173411619920496e-06   3.410158534311888e-05   1.941590377104719e-06   9.754591674264973e-05  2.1764604049323433e-06   8.905384967467458e-05   1.790747072781919e-06  0.00019400165452364575    4.25592860753611e-06  0.00014120474509054324  3.1459281422276753e-06 
  1923      -1.0  1.2721352074876546e-05  1.4727094673103128e-05                     0.0  1.8913324045716743e-05                   -99.0                   -99.0                     0.0   8.375523199976575e-06                     0.0   2.224341086367705e-05                     0.0   3.620594781156432e-05     5.8009770391385e-05    9.64866837863684e-06                     0.0   2.016308062796591e-05  0.00013121201413782046    7.41772712185369e-06   0.0003319511084002989   7.136051881979333e-06   0.0005736925208526404   6.687265648322516e-06   0.0006407931425839246  1.2010342469208123e-05   0.0007561326923259199  1.0346100594045894e-05 
  2101      -1.0  0.00038510977333013443  1.5319768104621398e-05   0.0007707165872821211  1.8271234511908372e-05                   -99.0                   -99.0   0.0023889581772811312   1.352965513044406e-05   0.0027710853774301613   2.776075247228907e-05                   -99.0                   -99.0    0.003947316006877502   1.681603286973077e-05   0.0038405824211848114  2.4105991744171053e-05     0.00670756296222242  1.8152194482168273e-05    0.012373972442457519   2.231821644535677e-05    0.017300652163187477  2.5480568607665885e-05    0.020970349031219138  4.2288074931594206e-05    0.022837532309918522  3.5050708622709405e-05 
  2109      -1.0  1.3471766009088532e-05  1.0767761556600461e-05                     0.0  1.3162688686463384e-05                   -99.0                   -99.0  0.00017773033409778356   8.211931176862294e-06  0.00038773834600822353  1.9365662944017775e-05   0.0006743714988656715   3.374564357612003e-05   0.0009018815867040531  1.2139580690311788e-05   0.0008959355883472324  1.6685596133169785e-05   0.0018597516919862148   1.633343520968911e-05   0.0032849615572379145  1.6842061426923297e-05    0.004720968513209563  1.9289016228836456e-05    0.005511701402643369  3.0136124826673196e-05    0.005753680371968691  2.1694517582723584e-05 
  2144      -1.0   0.0009087207891129961  2.2026504870800184e-05   0.0016880799807930415  2.6107309843259332e-05                   -99.0                   -99.0    0.005296502466961276   1.837553482633031e-05     0.00564954112607008  3.7782521244373366e-05                   -99.0                   -99.0    0.009228437733305096   2.376728485004105e-05    0.009130383062901289   3.555652634442628e-05    0.014043002828462402  3.0244009545853705e-05    0.026570133726597722   3.958360565061192e-05    0.037689034621832915  4.5100758729803545e-05     0.04704259995846389   7.600203144214565e-05     0.04710801005230489   6.653222643159226e-05 
